episode,mass
1,2.5599706536604936
2,2.5599706536604936
3,5.728928685254539
4,4.525966679962728
5,3.7926216630837013
6,1.358102522433401
7,1.3579698618491145
8,0.819459866925097
9,5.263968801762143
10,3.8061325645876485
11,4.394399177878251
12,0.6132147186269135
13,5.834504186890968
14,5.0784345244023195
15,1.6678651087305187
16,1.5000373196390533
17,1.508724804193886
18,2.1733323362774577
19,3.386160373977308
20,2.8756976025316368
21,2.1017602710892307
22,3.8651909209730873
23,1.26721623358623
24,2.1067955669437
25,2.514990138115304
26,3.0083849131936975
27,4.818467787661575
28,1.5982058018709786
29,3.3282894112748638
30,3.7582801287412337
31,0.7554772699599874
32,3.841496685457911
33,1.4378826802801035
34,0.8577837614190373
35,5.718870454893333
36,5.8109761819100765
37,4.946185414640536
38,2.175375730453539
39,1.0371966270351112
40,4.263281645816862
41,2.920838715567807
42,1.1712102916462834
43,3.223473005611986
44,0.6891368661337012
45,5.501262211433302
46,1.923289898800093
47,4.143872563946901
48,2.21441091849176
49,3.3603741164779595
50,3.506906536388038
51,1.5166995053903987
52,5.832715452705072
53,4.76323052848613
54,5.66724417860304
55,5.421550427352068
56,3.7884498834609683
57,5.570308292627143
58,0.9867087612855572
59,1.5779057433052985
60,0.7487500890079594
61,2.289316819197954
62,2.637725093292151
63,1.9924196747564276
64,5.058056300335611
65,2.462143296814741
66,2.0451398032805943
67,3.4848284573703667
68,1.2750832373611947
69,4.912083394147218
70,0.9100285402387396
71,5.927878151302846
72,4.7473462311316155
73,1.5929362484379483
74,0.5303716441798132
75,4.985037856501588
76,4.387715391161894
77,4.50953942422543
78,4.741986906772701
79,0.9072455845374969
80,2.471561506993499
81,1.1372798273882134
82,5.247068842315764
83,3.9281396975515683
84,2.3199391366895705
85,0.8495709265731299
86,2.210402769436142
87,2.2885082711471085
88,4.5128339808593525
89,4.006566092453673
90,5.3796700841697955
91,3.097182088390721
92,1.1577683526606593
93,4.422846329726473
94,4.684317767392936
95,3.5870245866322295
96,4.740319489750085
97,3.215875780004149
98,3.3750305616009673
99,2.851475600972023
100,0.6398051970925236
101,1.0934028484631746
102,0.6728605212770384
103,4.000257261950792
104,2.2289578959197964
105,3.297138801405865
106,5.491615606593512
107,1.8711072603188121
108,2.7571060766959636
109,4.655531261986768
110,1.7583899102039235
111,0.9233895040583615
112,2.093632991025724
113,1.3867170798970243
114,5.613337087884152
115,4.944662087604293
116,3.9837206608073292
117,5.293033246032447
118,4.920196422945129
119,1.5261353238731972
120,5.409074491694878
121,3.466382330536079
122,4.940920853402344
123,5.428502149579213
124,2.2490191123452514
125,1.105285584902222
126,1.7536433939806793
127,2.8490928374444096
128,4.999081212573712
129,5.234018207909889
130,0.5382367179215488
131,3.3091101641766114
132,2.7957605173182847
133,1.7215929575890163
134,1.1592595203352554
135,2.356883442719954
136,5.686003371518855
137,2.277616126114154
138,3.3533484195885137
139,4.366604273923478
140,2.4999628130861167
141,5.844801454965284
142,5.793460122181612
143,1.8848026270395029
144,3.23486678240812
145,2.154830703992233
